timestamp,cpu_utilization,memory_utilization,disk_usage,network_usage,cluster,usage_type,cost,recommendation,optimized_cost
2024-01-01 00:00:00,71,83,77,54,2,OPTIMAL,8.120000000000001,Keep as is,8.120000000000001
2024-01-01 01:00:00,34,30,48,62,0,LOW,4.18,Reduce resources,2.9259999999999997
2024-01-01 02:00:00,91,47,57,51,2,OPTIMAL,7.609999999999999,Keep as is,7.609999999999999
2024-01-01 03:00:00,80,61,73,72,2,OPTIMAL,8.01,Keep as is,8.01
2024-01-01 04:00:00,40,76,53,36,0,LOW,5.7,Reduce resources,3.9899999999999998
2024-01-01 05:00:00,94,78,67,47,2,OPTIMAL,8.850000000000001,Keep as is,8.850000000000001
2024-01-01 06:00:00,94,40,46,69,2,OPTIMAL,7.510000000000001,Keep as is,7.510000000000001
2024-01-01 07:00:00,43,50,50,16,0,LOW,4.8100000000000005,Reduce resources,3.367
2024-01-01 08:00:00,22,55,52,14,0,LOW,3.93,Reduce resources,2.751
2024-01-01 09:00:00,41,54,74,54,0,LOW,5.69,Reduce resources,3.983
2024-01-01 10:00:00,72,51,45,67,2,OPTIMAL,6.7,Keep as is,6.7
2024-01-01 11:00:00,21,88,73,40,0,LOW,5.55,Reduce resources,3.885
2024-01-01 12:00:00,49,56,31,32,0,LOW,5.07,Reduce resources,3.549
2024-01-01 13:00:00,57,78,41,51,2,OPTIMAL,6.52,Keep as is,6.52
2024-01-01 14:00:00,21,42,44,19,0,LOW,3.38,Reduce resources,2.3659999999999997
2024-01-01 15:00:00,83,62,65,41,1,HIGH,7.72,Scale up resources,8.492
2024-01-01 16:00:00,79,63,73,62,2,OPTIMAL,7.92,Keep as is,7.92
2024-01-01 17:00:00,40,70,44,39,0,LOW,5.369999999999999,Reduce resources,3.758999999999999
2024-01-01 18:00:00,52,64,78,48,2,OPTIMAL,6.5600000000000005,Keep as is,6.5600000000000005
2024-01-01 19:00:00,77,30,46,40,1,HIGH,6.07,Scale up resources,6.6770000000000005
2024-01-01 20:00:00,41,50,52,11,0,LOW,4.7,Reduce resources,3.29
2024-01-01 21:00:00,68,77,64,21,1,HIGH,7.200000000000001,Scale up resources,7.920000000000002
2024-01-01 22:00:00,78,84,73,48,2,OPTIMAL,8.36,Keep as is,8.36
2024-01-01 23:00:00,61,35,31,22,1,HIGH,4.94,Scale up resources,5.434000000000001
2024-01-02 00:00:00,79,57,25,55,2,OPTIMAL,6.71,Keep as is,6.71
2024-01-02 01:00:00,34,46,56,36,0,LOW,4.5600000000000005,Reduce resources,3.192
2024-01-02 02:00:00,81,34,37,26,1,HIGH,6.07,Scale up resources,6.6770000000000005
2024-01-02 03:00:00,81,60,54,69,2,OPTIMAL,7.62,Keep as is,7.62
2024-01-02 04:00:00,66,34,47,73,2,OPTIMAL,5.99,Keep as is,5.99
2024-01-02 05:00:00,81,67,75,44,2,OPTIMAL,8.0,Keep as is,8.0
2024-01-02 06:00:00,70,32,83,39,1,HIGH,6.51,Scale up resources,7.1610000000000005
2024-01-02 07:00:00,74,82,80,72,2,OPTIMAL,8.48,Keep as is,8.48
2024-01-02 08:00:00,83,52,43,37,1,HIGH,6.940000000000001,Scale up resources,7.634000000000002
2024-01-02 09:00:00,22,66,56,69,0,LOW,4.890000000000001,Reduce resources,3.423
2024-01-02 10:00:00,70,82,54,46,2,OPTIMAL,7.5,Keep as is,7.5
2024-01-02 11:00:00,26,66,53,31,0,LOW,4.6499999999999995,Reduce resources,3.2549999999999994
2024-01-02 12:00:00,40,39,73,29,0,LOW,4.92,Reduce resources,3.444
2024-01-02 13:00:00,92,39,69,73,2,OPTIMAL,7.880000000000001,Keep as is,7.880000000000001
2024-01-02 14:00:00,58,48,53,26,1,HIGH,5.66,Scale up resources,6.226000000000001
2024-01-02 15:00:00,37,46,54,21,0,LOW,4.5200000000000005,Reduce resources,3.164
2024-01-02 16:00:00,23,50,40,31,0,LOW,3.7600000000000002,Reduce resources,2.632
2024-01-02 17:00:00,79,43,64,26,1,HIGH,6.78,Scale up resources,7.458000000000001
2024-01-02 18:00:00,33,38,43,19,0,LOW,3.84,Reduce resources,2.6879999999999997
2024-01-02 19:00:00,28,75,42,74,0,LOW,5.23,Reduce resources,3.661
2024-01-02 20:00:00,72,30,25,31,1,HIGH,5.31,Scale up resources,5.841
2024-01-02 21:00:00,21,80,38,59,0,LOW,4.8,Reduce resources,3.36
2024-01-02 22:00:00,79,74,75,23,1,HIGH,7.9,Scale up resources,8.690000000000001
2024-01-02 23:00:00,90,42,71,73,2,OPTIMAL,7.91,Keep as is,7.91
2024-01-03 00:00:00,63,33,74,56,2,OPTIMAL,6.1800000000000015,Keep as is,6.1800000000000015
2024-01-03 01:00:00,27,30,26,38,0,LOW,3.15,Reduce resources,2.2049999999999996
2024-01-03 02:00:00,66,78,78,45,2,OPTIMAL,7.650000000000001,Keep as is,7.650000000000001
2024-01-03 03:00:00,54,69,52,61,2,OPTIMAL,6.42,Keep as is,6.42
2024-01-03 04:00:00,55,61,73,16,1,HIGH,6.2,Scale up resources,6.820000000000001
2024-01-03 05:00:00,69,63,74,38,1,HIGH,7.2,Scale up resources,7.920000000000001
2024-01-03 06:00:00,23,57,54,20,0,LOW,4.140000000000001,Reduce resources,2.898
2024-01-03 07:00:00,21,60,62,42,0,LOW,4.51,Reduce resources,3.1569999999999996
2024-01-03 08:00:00,25,37,75,15,0,LOW,4.01,Reduce resources,2.8069999999999995
2024-01-03 09:00:00,73,68,28,41,1,HIGH,6.66,Scale up resources,7.3260000000000005
2024-01-03 10:00:00,23,55,25,60,0,LOW,3.9,Reduce resources,2.73
2024-01-03 11:00:00,73,87,32,67,2,OPTIMAL,7.569999999999999,Keep as is,7.569999999999999
2024-01-03 12:00:00,82,63,53,35,1,HIGH,7.4,Scale up resources,8.14
2024-01-03 13:00:00,37,83,79,55,0,LOW,6.47,Reduce resources,4.529
2024-01-03 14:00:00,63,83,63,38,2,OPTIMAL,7.28,Keep as is,7.28
2024-01-03 15:00:00,53,32,27,13,1,HIGH,4.28,Scale up resources,4.708000000000001
2024-01-03 16:00:00,93,88,56,22,1,HIGH,8.63,Scale up resources,9.493000000000002
2024-01-03 17:00:00,81,79,34,48,2,OPTIMAL,7.58,Keep as is,7.58
2024-01-03 18:00:00,33,41,34,24,0,LOW,3.8,Reduce resources,2.6599999999999997
2024-01-03 19:00:00,67,30,43,38,1,HIGH,5.49,Scale up resources,6.039000000000001
